,comedy
0,"A student at Oxford University finds himself drawn into the world of a charming and aristocratic classmate, who invites him to his eccentric family's sprawling estate for a summer never to be forgotten."
1,"The incredible tale about the fantastical evolution of Bella Baxter, a young woman brought back to life by the brilliant and unorthodox scientist Dr. Godwin Baxter."
2,"Cady Heron is a hit with the Plastics, an A-list girl clique at her new school. But everything changes when she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George."
3,"It's 1993, and Ted the bear's moment of fame has passed. He's living back home with his best friend, John Bennett, and his family. While Ted may be a lousy influence on John, he's a loyal pal who will go out on a limb for friendship."
4,A young chef from the fine dining world returns to Chicago to run his family's sandwich shop.
5,Follows a master thief and his Interpol Agent ex-girlfriend who team up to steal $500 million in gold bullion being transported on an A380 passenger flight.
6,"The Roy family is known for controlling the biggest media and entertainment company in the world. However, their world changes when their father steps down from the company."
7,A cranky history teacher at a remote prep school is forced to remain on campus over the holidays with a troubled student who has no place to go and a grieving cook.
8,"Follows Charles Sun, a Taipei gangster who's settled into his life as a ruthless killer, but must go to L.A. to protect his mother and younger brother after his father was shot by a mysterious assassin."
9,"After an amazing first date, Bea and Ben's fiery attraction turns ice-cold--until they find themselves unexpectedly reunited at a destination wedding in Australia. So they do what any two mature adults would do: pretend to be a couple."
10,"Sam Loudermilk is a recovering alcoholic and substance-abuse counselor with a bad attitude. Although he has his drinking under control, Loudermilk discovers that when your life is a mess, getting clean is the easy part."
11,"Given the opportunity to participate in a life or death reality game show, one man discovers there's a lot to live for."
12,Two people let a road rage incident burrow into their minds and slowly consume their every thought and action.
13,"In an attempt to find a non-violent alternative for reducing Hell's overpopulation, the daughter of Lucifer opens a rehabilitation hotel that offers a group of misfit demons a chance at redemption."
14,"With dreams of opening a shop in a city renowned for its chocolate, a young and poor Willy Wonka discovers that the industry is run by a cartel of greedy chocolatiers."
15,"Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans."
16,A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.
17,"Eddie Halstead inherits a large estate from his father, unaware it fronts Pearson's drug empire. With no crime experience, he must take over the operation or lose the estate."
18,"On the run from a drug deal gone bad, brilliant college dropout Mike Ross finds himself working with Harvey Specter, one of New York City's best lawyers."
19,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies."
20,The exploits of various guests and employees of a luxury resort over the span of a week.
21,"Emma has a wonderful husband and two kids in the suburbs of New Jersey. She also has a secret life as an assassin for hire, a secret that her husband Dave discovers when the couple decide to spice up their marriage with a little role play."
22,"Cady Heron is a hit with The Plastics, the A-list girl clique at her new school, until she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George."
23,"Meet a child genius named Sheldon Cooper (already seen as an adult in The Big Bang Theory (2007)) and his family. Some unique challenges face Sheldon, who is socially impaired."
24,A newlywed couple struggle to make their vision for eco-living a reality in a small New Mexico town.
25,"American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League soccer team."
26,"Two strangers land jobs with a spy agency that offers them a life of espionage, wealth, and travel. The catch: new identities in an arranged marriage."
27,"A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium."
28,"On the brink of losing her home, Maddie finds an intriguing job listing: helicopter parents looking for someone to bring their introverted 19-year-old son out of his shell before college. She has one summer to make him a man or die trying."
29,Three strangers - who live in the same New York City apartment building and share an obsession with true crime - suddenly find themselves embroiled in a murder.
30,"A city doctor is forced to work in the remote Alaskan town of Cicely, where he encounters peculiar locals, including a former NASA astronaut, as he adjusts to small-town life."
31,Follows the personal and professional lives of six twenty to thirty year-old friends living in the Manhattan borough of New York City.
32,A woman who moves into an apartment across the hall from two brilliant but socially awkward physicists shows them how little they know about life outside of the laboratory.
33,Five friends with big egos and small brains are the proprietors of an Irish pub in Philadelphia.
34,Three different but related families face trials and tribulations in their own uniquely comedic ways.
35,"Monkey D. Luffy sets off on an adventure with his pirate crew in hopes of finding the greatest treasure ever, known as the ""One Piece."""
36,"Twenty years after their notorious tabloid romance gripped the nation, a married couple buckles under pressure when an actress arrives to do research for a film about their past."
37,The fractured domestic lives of a nihilistic mad scientist and his anxious grandson are further complicated by their inter-dimensional misadventures.
38,"A novelist who's fed up with the establishment profiting from ""Black"" entertainment uses a pen name to write a book that propels him into the heart of hypocrisy and the madness he claims to disdain."
39,"A heartwarming and emotional story about a unique set of triplets, their struggles, and their wonderful parents."
40,"Swathi dreams of owning a restaurant. But when murder derails her plan, she and her lover take an outrageous step - to replace him with her husband."
41,A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.
42,"An elite special forces team tracking a deadly terrorist network, hell bent on blowing up Las Vegas."
43,A former top assassin living incognito as a suburban dad must take his unsuspecting family on the run when his past catches up to him.
44,Comedic look at firefighters battling their own boredom.
45,"Struggling to find a better life, Clarence is captivated by the power of the rising Messiah and soon risks everything to carve a path to a divine existence."
46,"Poppy discovers that Branch was once part of the boy band 'BroZone' with his brothers, Floyd, John Dory, Spruce and Clay. When Floyd is kidnapped, Branch and Poppy embark on a journey to reunite his two other brothers and rescue Floyd."
47,"When his husband unexpectedly dies, Marc's world shatters, sending him and his two best friends on a soul-searching trip to Paris that reveals some hard truths they each needed to face."
48,"A hapless family man finds his life turned upside down when millions of strangers suddenly start seeing him in their dreams. When his nighttime appearances take a nightmarish turn, Paul is forced to navigate his newfound stardom."
49,The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.
50,"The story of the infamously terrible American Samoa soccer team, known for a brutal 2001 FIFA match they lost 31-0."
51,A teenage boy with a sex therapist mother teams up with a high school classmate to set up an underground sex therapy clinic at school.
52,A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led.
53,"John Bennett, a man whose childhood wish of bringing his teddy bear to life came true, now must decide between keeping the relationship with the bear, Ted or his girlfriend, Lori."
54,"In a wacky Rhode Island town, a dysfunctional family strives to cope with everyday life as they are thrown from one crazy scenario to another."
55,"Comedy series following the exploits of Det. Jake Peralta and his diverse, lovable colleagues as they police the NYPD's 99th Precinct."
56,A family of ducks try to convince their overprotective father to go on the vacation of a lifetime.
57,A chronicle of the lives of a dysfunctional family who run an independent funeral home in Los Angeles.
58,"A dramedy centering around the relationship between a thirtysomething single mother and her teen daughter living in Stars Hollow, Connecticut."
59,The life and times of Larry David and the predicaments he gets himself into with his friends and complete strangers.
60,"A plumber named Mario travels through an underground labyrinth with his brother Luigi, trying to save a captured princess."
61,"Convicted of a decade old crime of transporting drug money to an ex-girlfriend, normally law-abiding Piper Chapman is sentenced to a year and a half behind bars to face the reality of how life-changing prison can really be."
62,A spirited con woman and a demoted by-the-book detective are given the chance to redeem themselves. The catch? They have to find a way to work together each using their unique skills to solve crimes.
