,romance
0,"The incredible tale about the fantastical evolution of Bella Baxter, a young woman brought back to life by the brilliant and unorthodox scientist Dr. Godwin Baxter."
1,"When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one - until the FBI steps in to unravel the mystery."
2,"After an amazing first date, Bea and Ben's fiery attraction turns ice-cold--until they find themselves unexpectedly reunited at a destination wedding in Australia. So they do what any two mature adults would do: pretend to be a couple."
3,A drama centered on the personal and professional lives of five surgical interns and their supervisors.
4,"Emma has a wonderful husband and two kids in the suburbs of New Jersey. She also has a secret life as an assassin for hire, a secret that her husband Dave discovers when the couple decide to spice up their marriage with a little role play."
5,"On the brink of losing her home, Maddie finds an intriguing job listing: helicopter parents looking for someone to bring their introverted 19-year-old son out of his shell before college. She has one summer to make him a man or die trying."
6,"An internal succession war within House Targaryen at the height of its power, 172 years before the birth of Daenerys Targaryen."
7,Follows the personal and professional lives of six twenty to thirty year-old friends living in the Manhattan borough of New York City.
8,A woman who moves into an apartment across the hall from two brilliant but socially awkward physicists shows them how little they know about life outside of the laboratory.
9,"A screenwriter drawn back to his childhood home enters into a fledgling relationship with a mysterious neighbor as he then discovers his parents appear to be living just as they were on the day they died, 30 years before."
10,This love story chronicles the lifelong relationship of conductor-composer Leonard Bernstein and actress Felicia Montealegre Cohn Bernstein.
11,Three different but related families face trials and tribulations in their own uniquely comedic ways.
12,"Nora and Hae Sung, two deeply connected childhood friends, are wrested apart after Nora's family emigrates from South Korea. Twenty years later, they are reunited for one fateful week as they confront notions of love and destiny."
13,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore--and raid--the distant shores across the ocean."
14,"A heartwarming and emotional story about a unique set of triplets, their struggles, and their wonderful parents."
15,"When teenage Priscilla Beaulieu meets Elvis Presley, the man who is already a meteoric rock-and-roll superstar becomes someone entirely unexpected in private moments: a thrilling crush, an ally in loneliness, a vulnerable best friend."
16,"Jackie Howard's life is disrupted by a freak accident, she is ripped from her home and has to start over on a ranch in Colorado, with her guardian and a family of 9 boys, and 1 girl."
17,"When his husband unexpectedly dies, Marc's world shatters, sending him and his two best friends on a soul-searching trip to Paris that reveals some hard truths they each needed to face."
18,"Claire Beauchamp Randall, a nurse in World War II, mysteriously goes back in time to Scotland in 1743. There, she meets a dashing Highland warrior and gets drawn into an epic rebellion."
19,"A dangerously charming, intensely obsessive young man goes to extreme measures to insert himself into the lives of those he is transfixed by."
20,A teenage boy with a sex therapist mother teams up with a high school classmate to set up an underground sex therapy clinic at school.
21,"The lives, loves, dangers and disasters in the town, Mystic Falls, Virginia. Creatures of unspeakable horror lurk beneath this town as a teenage girl is suddenly torn between two vampire brothers."
22,Life for an entrepreneur and his American family begins to take a twisted turn after moving into an English country manor.
23,"Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment."
24,"After breaking up with his true love, best-selling author Hardin Scott travels to Portugal in an attempt to make amends for his past behavior."
25,"Follows events when the emerging nouveau riche, including the Trenchard family, rub shoulders with London's established upper classes and when secrets from the past threaten to emerge."
26,A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.
27,A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother.
28,"A suave, best-selling author teams up with a strait-laced detective to solve crimes in New York City."
29,"Follows the lives and volatile romance of two different men, through purges, wars, protests, and plagues, overcoming obstacles in the world."
30,"Following a writer on his world famous fictional play about a grieving father who travels with his tech-obsessed family to small rural Asteroid City to compete in a junior stargazing event, only to have his world view disrupted forever."
31,"The lives, loves and losses of the doctors and nurses of Chicago's County General Hospital."
32,A hedonistic jingle writer's free-wheeling life comes to an abrupt halt when his brother and 10-year-old nephew move into his beach-front house.
