,thriller
0,"Anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law."
1,"A student at Oxford University finds himself drawn into the world of a charming and aristocratic classmate, who invites him to his eccentric family's sprawling estate for a summer never to be forgotten."
2,Itinerant former military policeman Jack Reacher solves crimes and metes out his own brand of street justice. Based on the novels by Lee Child.
3,"Various chronicles of deception, intrigue, and murder in and around frozen Minnesota. All of these tales mysteriously lead back one way or another to Fargo, North Dakota."
4,Widowed mum Maya is disturbed by an image of her late husband captured on her toddler's nanny cam.
5,Follows a master thief and his Interpol Agent ex-girlfriend who team up to steal $500 million in gold bullion being transported on an A380 passenger flight.
6,"One man's brutal campaign for vengeance takes on national stakes after he is revealed to be a former operative of a powerful and clandestine organization known as ""Beekeepers""."
7,The flight of a rugby team crashes on a glacier in the Andes. The few passengers who survive the crash find themselves in one of the world's toughest environments to survive.
8,"Detective Rufus Cotesworth and his protégé, Imogene, dig for the truth on a Mediterranean ocean liner where everyone is hiding something."
9,"Given the opportunity to participate in a life or death reality game show, one man discovers there's a lot to live for."
10,"A family's getaway to a luxurious rental home takes an ominous turn when a cyberattack knocks out their devices, and two strangers appear at their door."
11,The famous detective Sam Spade is now 60 and living as an expat in the south of France in 1963.
12,Follows a team of British intelligence agents who serve as a dumping ground department of MI5 due to their career-ending mistakes.
13,"Back to his golden age before the events of ""Money Heist,"" Berlin and a masterful gang gather in Paris to plan one of his most ambitious robberies ever."
14,Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.
15,An introverted spy novelist is drawn into the activities of a sinister underground syndicate.
16,A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student in order to secure his family's future.
17,"Against the backdrop of a war between humans and robots with artificial intelligence, a former soldier finds the secret weapon, a robot in the form of a young child."
18,"A woman is suspected of her husband's murder, and their blind son faces a moral dilemma as the main witness."
19,"After a global pandemic destroys civilization, a hardened survivor takes charge of a 14-year-old girl who may be humanity's last hope."
20,"Tensions flare in the near future aboard the International Space Station as a conflict breaks out on Earth. Reeling, the U.S. and Russian astronauts receive orders from the ground: take control of the station by any means necessary."
21,A newlywed couple struggle to make their vision for eco-living a reality in a small New Mexico town.
22,"After a group of criminals kidnap the ballerina daughter of a powerful underworld figure, they retreat to an isolated mansion, unaware that they're locked inside with no normal little girl."
23,"Two strangers land jobs with a spy agency that offers them a life of espionage, wealth, and travel. The catch: new identities in an arranged marriage."
24,"This series follows the Special Victims Unit, a specially trained squad of detectives in the New York City Police Department that investigate sexually related crimes."
25,Follows two brilliant detectives in a tug of war over a historic murder conviction and the quest to find common ground in a polarized Britain.
26,Three strangers - who live in the same New York City apartment building and share an obsession with true crime - suddenly find themselves embroiled in a murder.
27,"Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons, and gods that roam the earth."
28,"When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces and one strange little girl."
29,The hardened son of a powerful industrialist returns home after years abroad and vows to take bloody revenge on those threatening his father's life.
30,Coriolanus Snow mentors and develops feelings for the female District 12 tribute during the 10th Hunger Games.
31,A group of criminal profilers who work for the FBI as members of its Behavioral Analysis Unit (BAU) using behavioral analysis and profiling to help investigate crimes and find the suspect known as the unsub.
32,"During WWII, five miles above the ground and behind enemy lines, ten men inside a bomber known as a ""Flying Fortress"" battle unrelenting flocks of German fighters."
33,Two strangers meet on a fateful Christmas Eve. A night of delirious romance turns into a nightmare. Revealing anything more would be a crime.
